FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS,TARGET
5.8,0.36,0.5,-38.8,-0.291,63,178,1.00091,3.87,0.45,8.8,0,7,1,3
11,0.23,1.42,37.8,0.035,-202,434,0.9976,3.35,0.52,9.4,0,7,4,4
-4.2,0.36,0.26,13.2,0.051,54,201,0.9976,3,1.62,10.8,1,7,1,4
7.5,1.43,-1.24,-4.4,0.057,22,-201,0.9938,0.69,1.17,4.7,1,8,2,4
24.7,1.63,1,1.9,0.846,15,100,0.96939,2.28,0.84,4,1,14,Unrated,0
8,0.42,0.32,2.5,0.601,26,-116,0.99639,3.32,1.99,15.6,0,9,Unrated,0
7.1,0.28,0.64,-47.1,0.512,611,105,0.9972,3.98,-1.06,9.2,1,8,2,4
-3.4,0.28,0.35,2.1,1.197,-29,203,0.95511,3.26,2.14,9.2,-1,7,Unrated,3
6.8,1.94,0.04,3.5,0.532,25,133,1.0354,3.17,-0.56,10.2,-2,7,1,1
15.1,0.44,0.22,4.3,-0.992,-3,99,1.02618,3.26,0.53,8.7,-1,7,1,4
6.2,0.16,0.26,-12.05,-0.204,208,220,0.99622,3.36,0.58,10.6,0,7,2,4
16.9,0.19,0.41,-36.7,0.046,51,169,0.9954,3.14,1.65,9.8,-1,7,1,3
14.6,0.54,0.52,8.6,0.088,-124,48,0.9981,2.42,0.77,4.2,1,9,Unrated,0
7,-0.06,-1.57,-41.4,0.05,29,-71,0.99977,2.51,0.49,16.7,0,8,3,4
-2.9,0.54,0.03,48.9,0.094,41,110,0.9982,4,0.8,9.2,-1,10,1,2
6.9,2.75,0.33,-16.8,0.043,-161,158,0.99082,4.14,0.58,16.9,0,7,3,4
7.3,-0.52,-0.97,-36.3,0.048,-255,-779,0.99044,4.04,0.35,12,-1,8,1,0
8,-0.53,1.53,13.2,0.046,26,113,0.9983,3.23,0.37,8.4,0,9,4,4
7,0.73,-0.92,8,1.185,-169,164,0.97963,4.34,-0.62,9,0,8,1,4
9.4,1.45,-1.04,1.6,0.045,42,408,0.99534,4.19,-1.09,6.9,0,10,Unrated,3
4.2,0.69,0.58,-24.3,0.188,104,161,0.954,3.06,0.41,13.1,1,9,1,5
17.2,0.37,1.72,-54.7,0.028,24,84,0.9909,2.75,0.18,11.7,1,7,3,5
7.9,0.04,-0.22,-9.7,0.628,66,195,0.99413,3.04,0.52,11,-1,9,Unrated,0
11.8,-0.88,0.26,6.8,0.298,36,120,0.96461,3.27,0.32,5.6,0,6,Unrated,4
7.4,0.19,-0.65,12.8,0.053,48.5,-95,0.99778,4.02,1.89,2.7,2,8,3,7
2.9,0.63,1.63,46.4,0.327,24,125,0.9917,3.19,0.48,10.5,0,7,2,4
13.2,0.845,0.01,-25.6,0.172,-117,53,1.00888,3.32,0.5,11,1,9,1,3
-2.7,0.18,0.31,32.1,0.216,20,210,0.96244,3.84,-0.21,10.8,-1,8,3,4
-11.7,-0.83,-0.43,2.4,-0.137,-84,461,0.992,3.25,0.17,10.4,-1,6,Unrated,3
12.4,0.38,1.7,2,0.08,-173,-207,0.9961,1.03,0.86,12.9,1,8,Unrated,0
-4.5,0.43,0.35,21.3,0.489,264,-140,0.95018,3.37,0.5,14.7,1,7,1,4
3.7,0.24,0.31,13.1,0.05,26,180,0.94955,3.05,0.53,10.4,-1,8,Unrated,3
15.4,-0.32,0.99,18.2,0.044,38,-113,1.00467,3.84,0.6,6.9,-1,6,1,2
0.6,3.06,0.42,-19,-0.009,3,-147,0.99505999999999994,2.83,1.51,12.3,2,9,Unrated,0
-1.3,0.64,0.3,2.25,-0.034,8,135,0.93293,2.72,0.62,9.9,-1,7,1,3
7.2,0.15,1.42,38.4,0.038,103,110,1.00899,4.72,0.43,12.6,0,8,2,4
9.1,-0.2,1.73,2,0.124,172,25,0.99516,2.69,-0.05,16,0,10,Unrated,0
7.5,-0.42,1.75,3.85,0.546,-217,189,0.95709,2.05,1.91,11.8,-1,8,Unrated,1
12.2,0.19,1.1,11.2,0.061,-63,-148,0.97994,2.99,-0.38,9.3,0,8,2,4
7.6,1.7,-1.03,3.4,0.048,-224,116,0.9944,4.25,0.41,9.4,0,8,2,0
1.9,0.47,-0.86,-58.1,0.174,24,37,0.99514,1.99,0.61,10.9,-1,8,Unrated,0
-3,0.22,1.22,-50.4,0.26,36,-207,1.03038,2.62,2.1,11,-1,6,Unrated,0
8.4,0.39,0.1,1.7,0.075,-153,25,0.99581,3.09,0.43,9.7,-1,9,Unrated,0
7.1,0.21,0.32,2.2,0.098,28,141,0.993,4.34,-1.03,10,0,8,1,5
13.8,0.23,0.42,-46.3,-0.432,25,-83,0.99318,3.41,3.09,10.6,-1,8,Unrated,2
8.8,-0.73,1.41,4,0.595,30,69,0.99787,3.47,0.48,15,1,10,2,5
5.8,-0.91,0.1,47.2,0.044,-238,63,1.02787,3.01,-0.45,6.4,1,7,1,4
7.3,0.38,-1.08,6.5,0.271,482,102,0.99304,2.85,0.55,16.1,-1,8,1,1
5.8,0.18,0.21,6.6,0.028,50,726,0.94294,3.29,0.62,10,-1,6,2,2
3.4,0.29,0.38,1.2,-0.65,237,-107,1.03069,3.28,0.36,18.2,-1,6,2,3
17.3,1.25,1.3,35.15,0.031,33,631,0.99296,3.92,-1.05,5.3,-2,7,2,2
7.2,0.2,1.44,46.6,0.028,-136,103,0.97085,2.17,0.51,9.2,1,8,3,5
15,2.01,1.18,-38.7,-0.286,17,158,1.00364,2.53,0.74,17.4,1,9,Unrated,6
3.2,0.52,0.36,1.5,-0.057,90,121,0.98976,4.31,1.29,18.3,0,6,3,5
5.8,-0.74,0.15,1.1,0.414,26,83,0.97401,2.77,0.4,11.4,0,6,2,4
14.6,0.38,1.51,73.7,-0.271,-51,137,1.01893,4.02,1.98,12.1,0,8,3,4
6.6,0.13,1.27,-15.1,0.04,-115,179,0.9955,4.23,0.41,9,-1,8,2,2
2.9,-0.84,0.27,1.6,-0.336,312,98,0.99299,3.29,0.44,3.2,0,8,1,5
8.2,0.34,-0.95,-21,0.028,41,100,0.98958,3.2,1.77,13.2,-1,8,Unrated,4
8.2,0.53,0.38,-40.3,0.036,-286,-275,0.99062,2.88,0.6,18.3,1,9,3,5
8.3,1.21,0.34,7.8,-0.399,84,-166,0.97462,3.21,-0.75,17.5,-1,8,1,3
7.2,-0.72,0.15,-14.1,0.012,10,-49,0.99609,2.95,0.35,13.7,0,8,4,4
9.3,0.19,0.29,-51.1,0.042,44,189,0.99304,3.99,-0.75,10.3,1,7,3,5
1.6,0.33,0.31,7.7,-0.175,307,-21,0.99226,3.11,0.24,8.8,0,8,2,3
10.7,0.63,1.18,55.6,-0.399,14,-123,0.99522,2.3,0.06,15.5,1,8,2,5
6.2,1.53,0.32,1.1,0.115,74,66,0.99096,2.25,-0.81,8.9,0,7,Unrated,4
13.8,-0.29,0.36,-13.9,0.447,291,-140,0.96793,3.25,0.63,7,-1,8,Unrated,3
7.2,0.16,0.32,-44.9,0.04,50,-150,1.0458,3.27,0.96,10,-1,8,2,3
-0.8,-0.56,0.42,2.3,-0.139,-453,-718,0.9972,4.15,-0.65,10.9,-1,8,2,3
7.7,-2.54,0.35,15.3,0.638,74,148,0.99628,1.9,2.02,15.3,0,8,1,3
0.4,-0.14,0.04,48.4,0.444,23,-30,0.99228,4.43,0.61,9.9,0,7,3,4
6.3,-2.39,-0.24,1.5,-0.415,-428,-448,0.99238,4.05,-0.01,14.5,-1,7,Unrated,2
13.8,-1.07,0.49,53.3,0.342,305,161,0.9937,3.01,0.28,12.1,1,8,3,5
8.9,0.27,1.26,10.7,-0.432,19.5,166,0.99669,3.13,0.48,16.8,-1,10,2,2
16.2,-1.22,0.26,11,0.03,2,82,0.99402,1.9,0.36,11.2,1,7,4,4
-14.4,0.155,1.43,-41,0.025,357.5,637,0.9934,3.18,0.61,3.9,0,8,3,5
8.7,1.225,-1.47,47.2,0.09,4,11,0.99745,3.31,1.59,11.9,1,9,1,4
7.4,0.01,1.42,8.4,-0.251,52,571,1.03166,3.09,-1.38,8.8,0,8,Unrated,3
14.6,0.55,-0.28,-57.5,0.149,15,-208,0.9959,2.14,0.46,9.7,0,8,Unrated,0
3.2,-0.63,-0.95,13.4,-0.336,50,191,0.9989,3.22,0.53,9,1,8,1,3
6.6,0.22,-0.6,137.6,0.316,39,118,0.99834,3.05,1.79,9.1,0,7,1,0
6.6,-0.86,0.25,-36.9,0.045,45,178,1.04206,4.26,0.43,15,0,7,1,0
14.3,0.99,0.15,1.2,0.053,61,573,1.03601,3.86,0.43,9.2,-1,8,1,2
7.8,0.625,0.16,2,0.078,132,-324,0.9962,3.14,0.23,11,2,9,Unrated,0
7,0.42,0.26,-32.9,0.088,79,39,1.08975,2.81,0.55,9.2,-2,8,Unrated,0
-2.2,0.655,-1.19,48.8,-0.236,138,-339,0.96197,2.71,0.88,5.3,1,7,3,3
0.8,0.46,1.94,-8.3,0.356,41,193,0.9928,3.6,0.35,12.2,2,8,4,7
6.3,-0.69,-0.04,51.1,0.038,59,35,1.00701,3.12,0.04,9.5,0,8,2,4
10,0.35,0.53,2.6,0.07,-253,16,0.9972,3.15,-0.16,11,1,12,Unrated,0
5.6,0.835,0.16,141.15,0.051,128,389,0.99564,3.67,-1.24,10.8,0,6,3,4
7.7,0.34,0.28,6,0.242,31,359,0.99815,3.27,0.57,9.2,1,8,3,5
-2.2,0.79,0.43,1.6,0.769,31,468,0.9916,4.02,0.5,7.4,0,9,3,4
6.1,0.32,-0.59,8.3,0.036,19,455,1.00919,4.23,0.52,12.6,-1,7,Unrated,3
6.3,-1.04,-0.38,5.9,0.448,82.5,260,1.0167,3.12,0.66,15.7,0,7,1,3
4.7,0.35,0.3,58.9,-0.129,156,97,1.01223,2.04,0.41,11,-1,7,Unrated,0
-3.3,0.56,0.22,9.8,0.049,50,47,1.03157,3.68,-1.24,17.7,0,6,3,4
9.3,-0.01,-0.44,-103.5,0.051,46,139,1.03656,3.18,1.14,13.2,0,7,3,3
8.7,0.78,1.07,1.7,-0.061,12,122,0.99577,4.38,1.23,15.6,0,10,Unrated,0
8.8,0.86,0.36,39.6,-0.29,239,-44,0.9982,3.23,0.51,9.3,0,9,Unrated,0
5.7,0.93,-0.05,6.8,0.167,61,-51,1.03903,3.09,0.46,15.1,1,7,2,4
-0.6,0.37,0.52,9.3,0.082,146,26,1.0565,3.22,-0.79,9.5,0,10,3,3
7,0.23,1.94,3.2,0.775,150,-237,1.02365,3.02,1.29,13.3,0,10,2,4
12.3,0.3,0.22,-15.1,-0.528,583,191,0.9966,3.08,0.4,9.3,0,8,3,4
0.4,-0.07,-0.09,9.6,-0.497,-288,143,1.00784,3.25,-1.98,20.2,-1,7,2,4
0.3,0.31,-0.49,53.3,0.036,34,114,1.03461,2.12,-0.67,6.1,1,8,3,6
-0.3,0.31,0.34,1.6,-0.993,23,280,0.97574,5.79,0.47,11.7,0,8,2,4
6.8,0.04,0.09,25.7,0.04,-350,339,1.03736,2.34,0.46,16,0,7,1,0
10.4,0.17,0.27,1.4,0.032,39,45,0.99254,3.14,0.67,10.5,0,7,3,3
6.6,0.18,0.28,41.5,0.041,53,-87,0.99207,3.13,0.45,9.3,0,7,2,4
6.5,-0.35,0.65,17.6,-0.124,34,-154,0.9923,3.91,0.47,3,1,7,2,5
6.9,0.59,0.82,38.2,0.415,34,389,0.99165,2.13,-1.03,12.3,-2,8,Unrated,3
6.6,0.18,0.35,1.5,0.049,104,241,1.03452,3.7,0.04,10.2,1,7,2,6
2.3,0.38,0.25,9.8,-0.461,24,191,0.99548,3.28,0.52,14.7,0,8,Unrated,3
1.9,0.33,-0.29,5.2,-0.312,45,105,0.97143,3.05,0.41,9.2,1,8,Unrated,0
13.6,0.29,-0.3,1.4,0.666,52,148,0.98378,2.07,-1.24,9,0,8,3,4
7.3,1.18,0.3,13,-0.633,46,92,1.08993,3.72,0.44,7.6,0,8,1,4
16.9,0.41,1.24,-15.2,0.042,92,293,0.95241,2.86,1.99,9.7,-1,8,2,3
14.3,-0.4,1.24,-33.3,-0.522,26,105,0.98962,3.19,0.75,12.4,-1,7,3,4
6,0.76,1.8,3.3,0.303,26,-226,0.94672,2.34,0.33,9.5,-2,7,Unrated,0
-8.2,0.12,0.28,-42.5,-0.073,-83,19,1.01367,3.23,-0.71,12,-1,7,2,0
19,1.48,0.64,73.6,-0.246,238,-388,1.01453,2.04,3.14,9.2,0,8,2,3
-3.9,0.18,-0.5,12.6,-0.301,155,195,1,3.05,-1,10.4,-1,8,1,5
5.5,0.24,0.11,1.7,0.046,-206,113,0.99224,3.22,0.48,10,0,6,2,3
6.8,0.18,0.3,12.8,0.062,-236,-229,1.01817,2.85,2.25,8.9,2,7,3,7
6.6,1.01,0.02,2.1,-0.068,-382,16,0.95273,2.2,2.29,9.5,0,7,Unrated,3
6.7,0.96,1.07,1.4,0.025,-200,76,0.98398,1.63,0.44,11,0,7,3,4
6.8,2.01,0.91,-7.7,0.645,110,-374,1.0395,3.46,0.72,10.2,0,7,Unrated,0
9.8,0.44,0.42,2.8,-0.134,35,167,1.01102,3.12,0.39,12.1,-1,11,Unrated,2
6.8,0.27,0.31,-24.6,-0.194,259,170,1.01824,4.17,0.66,14.2,0,7,Unrated,4
9.9,0.08,1.25,2.2,-0.527,-50,26,0.95523,2.42,0.78,12.5,0,11,Unrated,0
6.2,0.3,0.3,23.9,0.041,29,82,0.89652,3.31,1.9,18.2,0,7,Unrated,0
-3.6,0.22,0.21,-24.7,0.588,-244,-47,0.98675,3.1,0.55,17.4,0,8,Unrated,0
7.6,0.7,0.38,1.9,-0.06,-252,188,0.98962,3.18,-0.94,12.4,0,7,3,4
5.8,-0.87,0.3,42,0.024,45,159,1.03792,2.95,2.05,13.7,1,6,4,6
11.2,0.85,0.62,-9.5,0.036,56,153,0.9978,4.35,1.13,6.8,0,9,3,4
-1.4,0.25,1.83,-45.4,0.049,145,-113,0.99154,3.17,0.48,13.4,-1,8,2,3
-2.2,0.48,1.06,1.8,0.034,62,132,0.991,3.68,-1.94,12.6,1,8,4,7
0.3,0.21,0.28,7.5,0.07,80,-273,1.0955,2.87,1.03,9.4,-1,7,Unrated,2
-0.7,0.18,1.16,10.3,-0.52,-170,-65,0.96348,2.77,2.03,10.6,1,7,Unrated,0
1.4,1.64,1.97,75.6,-0.124,6,561,0.96292,2.94,0.44,9.1,-1,8,2,2
3.2,-0.27,0.52,-12.1,-0.13,12,276,0.9969,3.25,2.3,7.6,-1,10,2,2
9.2,-1,0.46,6.3,0.032,-45,121,0.99214,2.21,1.52,5.5,1,7,4,6
9.4,0.37,0.3,-57.5,0.04,49,139,0.99021,3.44,1.88,19.2,-1,8,1,0
6.3,0.18,0.36,64.8,0.034,161,531,0.99074,3.16,0.54,11,-2,7,Unrated,2
5.7,1.08,0.6,53.5,0.064,296,-147.5,1.0439,3.68,-0.94,10.3,1,7,3,4
5.7,0.77,0.12,2.9,0.082,157,74,0.971,2.03,0.64,10.4,-1,10,2,3
6.7,-0.82,1.11,12.5,0.035,199,-246,0.98535,2.88,1.65,5.2,0,7,2,4
11.2,0.14,0.33,-44.7,0.104,116,494,0.99057,2.99,1.47,20.9,0,8,3,4
7.8,0.33,0.62,14.5,0.038,46,132,1.01853,3.23,0.43,13.4,1,8,3,6
6.3,0.24,0.55,-46.2,-0.202,468,216,0.99931,2.9,-0.94,2.8,-1,7,Unrated,2
12,1.93,-0.05,42,-0.095,154,117,0.94651,3.27,1.51,4.6,1,10,Unrated,0
6,-1.18,0.22,12.15,0.116,42,163,0.9957,3.2,0.46,10.1,0,7,3,3
5.4,0.7,0.29,46.5,0.499,256,145,1.02159,3.68,0.46,10.3,0,6,3,3
6.9,0.25,0.35,43.5,0.034,32,150,0.9947,3.21,0.36,11.5,0,8,3,4
6,0.68,-1.28,1.8,0.087,117,94,0.9944,4.11,0.52,10,-2,7,Unrated,0
10,-0.33,-0.41,-31,-0.242,119,77,1.0447,3.16,0.69,11.7,1,11,Unrated,0
7,0.23,-1.19,-53,0.157,-57,92,0.99372,2.45,-1.49,9.3,0,8,2,3
7.7,1.63,0.8,5.2,0.076,19,-338,0.99138,2.95,0.11,6.6,-1,9,2,3
11.2,-1.1,-0.32,-45.9,0.028,-74,-275,0.99484,3.13,1.77,10.9,-1,7,2,5
7.4,0.26,-1.22,32.2,0.332,22,115,0.9928,4.31,0.55,17.9,0,8,3,4
6.5,0.19,0.34,62.7,-0.279,265,116,0.99362,3.21,0.68,19.3,0,7,3,4
6,0.03,0.13,1.2,0.452,60,-520,0.99114,3.94,0.22,10.6,0,7,1,0
10.4,0.06,0.78,66.4,0.293,6,10,1.0055,3.9,0.65,11.8,1,11,Unrated,0
20.4,0.35,0.3,-70,0.299,-43,267,0.96256,2.66,1.34,11,-1,7,Unrated,0
5.7,3.18,0.26,12.5,0.049,-122.5,120,0.95985,2.81,1.01,3.9,0,6,2,4
5.4,0.34,-0.15,4,0.064,-30,83,0.9984,2.68,1.36,10.2,0,10,Unrated,3
4.3,0.26,0.29,56.7,-0.623,40,179,0.99479,3.8,0.56,13.7,0,7,3,4
11.9,0.57,0.1,-10,0.094,273,-159,0.9972,4.33,3.75,9.2,-1,8,1,1
10.4,0.575,0.81,2.6,0.587,-213,76,0.98409,3.16,-2.69,9,1,12,Unrated,0
6.9,0.55,-0.25,-21.5,0.029,-120,107,1.01737,2.02,-2.02,9.8,-1,7,3,5
8.6,0.33,1.3,2.6,-0.031,16,68,0.99782,3.3,0.39,9.4,1,9,Unrated,0
18.1,0.33,0.64,-22.5,0.056,-64,-101,0.9972,3.42,1.47,6,-2,8,Unrated,1
8.5,0.48,0.3,1.5,0.037,184,160,0.97418,4.35,-1.22,15.5,0,7,2,5
7.6,-0.77,1.23,4.6,0.338,33,552,0.99018,3.04,0.43,13.1,-1,9,1,3
7.5,0.07,0.32,9,0.393,110,91,1.04361,3.25,-0.18,10.4,-2,8,Unrated,2
7.1,-1.1,-1.16,10.7,0.178,-46,-174,0.9959,3.16,2.1,10.9,0,8,3,5
-4.7,-1.25,0.31,1.7,0.079,111,296,0.99716,3.43,1.12,2.8,1,8,Unrated,0
6.8,0.22,1.52,-33,0.041,-226,182,0.99104,2.65,0.87,13.1,-1,7,1,2
0.2,-0.29,-1.34,-10.2,0.024,298,389,0.99234,3.37,0.58,12.5,1,6,4,5
1,0.21,0.27,-110.8,-0.338,-56,139,1.03285,3.16,0.61,10.3,1,7,3,6
8.1,0.45,-0.09,8.3,0.037,33,565,0.9976,3.31,0.64,7.3,1,9,2,4
8.2,0.22,0.19,1.1,0.064,36,32,0.99297,4.2,0.5,13.8,0,7,3,4
1.9,0.33,0.3,27.8,0.036,-120,447,0.99028,3.25,2.38,12.5,0,7,3,5
3.5,0.66,0.41,1.3,0.044,11,209,1.04381,4.11,-0.35,8.6,0,8,Unrated,0
7.5,0.36,0.29,1.5,0.046,239,7,0.95322,2.62,0.45,5.8,0,8,1,4
0.4,0.55,0.13,1.7,-0.049,-45,165,0.994,2.69,0.58,8.8,-2,8,1,2
0.8,0.38,0.4,2.2,0.068,12,28,1.01176,4.35,1.86,17.6,-1,10,Unrated,0
-2,0.22,-0.42,-49.2,0.432,-189,130,0.96911,3.11,-1.02,15.7,0,7,2,5
8.3,0.815,-0.85,2.3,-0.23,15,471,0.97432,3.65,0.66,1.2,0,9,1,3
7,0.19,0.23,50.5,0.123,27,-254,0.91284,1.32,0.54,7.2,-1,7,3,3
16.8,0.41,1.06,65,0.096,17,69,0.99734,3.26,0.63,10.2,0,10,Unrated,0
6.6,0.84,0.03,2.3,0.09,114,-275,0.9952,4.36,0.56,10.5,0,7,Unrated,0
7.2,-0.22,-0.69,43,0.538,34,140,0.99,3.05,0.44,12.7,0,8,2,4
6.8,0.18,0.52,12.8,0.014,106,553,1.05792,3,0.52,15.4,-1,7,Unrated,0
7.3,0.145,-0.53,9.1,0.229,14,64,0.99012,1.28,0.37,13.9,-1,8,1,4
15.8,1.17,0.52,20.8,-0.195,61,339,0.96596,2,1.33,14.6,0,8,3,4
7.4,-0.73,-0.32,1.4,0.025,27,2,0.9915,3.75,0.33,11.2,0,8,3,4
9.5,0.57,0.07,2.3,0.082,23,-259,0.99782,3.27,0.25,15.8,1,10,Unrated,0
-3.9,0.25,-1.08,5.7,0.052,176,152,0.99856,3.16,0.88,10.5,1,7,2,5
0.8,-1.01,-0.27,49.1,0.488,-206,102,1.0817,2.63,0.55,12.7,0,7,2,5
5.6,0.49,1.2,3.2,-0.484,33,249,0.99126,2.71,0.58,9.9,1,6,1,5
7.9,1.25,0.34,-39.2,-0.058,226,17,0.99235,2.5,1.05,13.1,2,9,4,8
-5,0.32,0.25,2.3,0.13,-165,-169,0.94462,3.42,0.15,10.6,-2,7,Unrated,0
13.3,0.18,0.14,11.5,0.638,-62,-156,0.99406,3.11,-0.22,9.3,0,7,3,5
14.9,1.23,1.87,2,0.039,-20,-205,0.94425,3.63,0.41,11.2,0,8,1,4
8.4,1.91,0.36,44.2,0.043,-21,207,1.04422,3.11,0.36,9.6,1,7,3,5
-6,-0.515,0.39,9.7,0.032,-101,68,1.06304,3.35,0.34,5.6,-1,6,3,2
9.8,0.75,-0.57,-16.6,0.074,-150,-387,0.99534,3.4,1.56,11,1,8,1,0
7.2,0.19,0.94,12.8,0.053,48.5,229,0.96252,3.14,3.09,3.9,0,8,2,5
7.6,1.12,0.27,5.2,-0.407,-41,101,0.99172,3.22,1.09,12.3,0,8,3,5
7.2,0.65,1.53,-4.05,0.525,37,183,0.99474,3.08,0.5,21.4,-2,8,Unrated,1
11,0.78,-0.49,56.35,0.048,327,189,1.00582,3,-0.41,14.3,-2,8,1,2
5.9,0.26,-0.87,-47.6,0.034,36,152,0.9972,3.28,-0.99,9.5,-1,6,1,3
3.3,-0.48,0.69,14.2,0.078,12,-174,0.9958,3,3.41,18.2,0,13,1,0
7,-1.22,1.82,14.3,-0.343,27,93,0.998,3.73,0.35,9.2,0,7,2,4
-1,1.66,-0.32,16,0.312,14,501,1.00676,3.96,0.03,13.2,-1,6,1,3
6.8,-0.92,0.86,-113.1,0.052,51,925,0.99544,3.67,0.95,10.4,-1,7,2,3
11.6,0.85,0.53,-39.3,0.105,33,98,0.99688,3.2,-0.38,3.5,-1,13,1,2
-1.6,0.85,0.04,-108.7,0.084,154,151,0.99907,2,2.41,9.5,1,8,3,4
7.8,1.08,-0.45,12.2,-0.21,46,-609,0.9545,2.63,1.51,8.9,1,8,Unrated,0
6.1,0.16,1.96,-0.2,0.042,-18,3,0.96043,3.57,0.75,10.6,-1,7,2,4
17.1,-0.26,0.26,16.75,0.05,-9,112,0.9999,3.15,-0.73,9.2,2,9,Unrated,5
5.3,0.585,0.07,-18,0.322,34,466,0.95145,2.11,0.39,6.1,-1,6,Unrated,3
6.9,0.4,0.42,6.2,-0.111,210,331,0.98668,2.58,0.54,19.8,0,8,1,3
-5.6,0.24,-0.89,33,-0.163,-98,128,0.992,4.02,0.49,11.2,1,6,Unrated,0
7.3,0.41,0.26,1.2,0.032,154,-95,0.99584,4.56,0.22,15.9,0,8,1,0
6.2,-0.55,-0.03,7.6,0.029,178,81,0.99,2.12,0.42,12.2,0,7,2,4
9.4,0.5,1.37,3.6,0.082,5,184,0.9987,2.54,0.34,7.4,1,10,Unrated,0
1.2,0.915,0.29,27,0.07,15,39,0.95114,3.53,0.54,6.9,0,8,1,0
6.9,0.21,1.16,6.3,0.042,-203,109,0.99358,3.83,0.64,5.7,1,8,2,5
6.4,0.19,-0.59,52.5,0.032,32,-122,0.97566,2.95,0.41,11.7,0,7,2,4
8,0.6,0.22,2.1,0.08,25,-121,0.99613,3.3,0.49,5.9,0,9,2,3
6.8,-1.65,0.27,18.15,0.042,30,356,1.0001,4.2,-0.85,10.9,1,7,1,4
6.8,1.46,1.87,1.1,0.035,26,81,1.029,4.26,0.52,11.4,-1,6,1,0
18.3,1.5,0.36,6.8,-0.493,12,90,0.98254,3.31,0.86,8.2,0,9,Unrated,0
1.1,1.11,0.37,9.95,-0.026,-224,15,0.99581,3.58,-0.33,13.9,0,8,2,4
6.7,0.15,0.32,7.9,-0.95,17,-241,0.99512,3.29,0.32,10,0,7,2,4
7.2,0.645,-0.03,1.9,-0.256,15,-334,0.99675,3.37,1.32,14,0,8,2,4
